S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
24,JHARKHAND,WEST SINGHBHUM,22.421,85.518,0.2,8.7,-98%,LD,952.8,736.5,29%,E,EXACT,1.0
1,BIHAR,ARARIA,26.198,87.362,0,14.3,-100%,NR,646.1,995.8,-35%,D,EXACT,1.0
2,BIHAR,ARWAL,25.163,84.677,0,15,-100%,NR,265.3,490.2,-46%,D,EXACT,1.0
3,BIHAR,AURANGABAD,24.791,84.408,0.6,13.1,-96%,LD,457,608.3,-25%,D,EXACT,1.0
4,BIHAR,BANKA,24.854,86.838,1.8,9.8,-81%,LD,308.6,620.5,-50%,D,EXACT,1.0
5,BIHAR,BEGUSARAI,25.497,86.13,0,12.4,-100%,NR,406.9,697.2,-42%,D,EXACT,1.0
6,BIHAR,BHABUA,24.992,83.606,0,13.3,-99%,LD,292.5,606.1,-52%,D,EXACT,1.0
7,BIHAR,BHAGALPUR,25.27,87.083,2,8.6,-77%,LD,265.7,682.6,-61%,LD,EXACT,1.0
8,BIHAR,BHOJPUR,25.474,84.54,0,10.7,-100%,NR,282.7,613.2,-54%,D,EXACT,1.0
9,BIHAR,BUXAR,25.487,84.094,0.7,8.2,-92%,LD,394.6,554.3,-29%,D,EXACT,1.0
10,BIHAR,DARBHANGA,26.085,86.055,0,6.6,-99%,LD,308.6,647.5,-52%,D,EXACT,1.0
11,BIHAR,EAST CHAMPARAN,26.618,84.922,0,8.4,-100%,NR,417.1,753,-45%,D,EXACT,1.0
12,BIHAR,GAYA,24.697,84.934,0,13.2,-100%,NR,363.2,601.5,-40%,D,EXACT,1.0
13,BIHAR,GOPALGANJ,26.444,84.374,2.7,11.1,-76%,LD,424.4,672.6,-37%,D,EXACT,1.0
14,BIHAR,JAHANABAD,25.155,85.017,0.1,8.6,-99%,LD,209.9,589.8,-64%,LD,EXACT,1.0
15,BIHAR,JAMUI,24.785,86.293,0.2,9.1,-98%,LD,292.3,646.2,-55%,D,EXACT,1.0
16,BIHAR,KATIHAR,25.55,87.64,0.2,10.9,-99%,LD,440.2,740.8,-41%,D,EXACT,1.0
17,BIHAR,KHAGARIA,25.511,86.601,0,9,-100%,NR,576.1,673.2,-14%,N,EXACT,1.0
18,BIHAR,KISHANGANJ,26.296,87.939,0,16.1,-100%,NR,874,1250.3,-30%,D,EXACT,1.0
19,BIHAR,LAKHISARAI,25.162,86.137,0,8.5,-100%,NR,489.1,602,-19%,N,EXACT,1.0
20,BIHAR,MADHEPURA,25.822,86.898,0,11,-100%,NR,436.8,721.1,-39%,D,EXACT,1.0
21,BIHAR,MADHUBANI,26.402,86.222,0,8.7,-100%,NR,420,711.2,-41%,D,EXACT,1.0
22,BIHAR,MUNGER,25.21,86.526,0,11.2,-100%,NR,424.3,721.5,-41%,D,EXACT,1.0
23,BIHAR,MUZAFFARPUR,26.152,85.329,0.2,7,-97%,LD,339.9,674.5,-50%,D,EXACT,1.0
24,BIHAR,NALANDA,25.219,85.448,0,12.2,-100%,NR,313.6,599.2,-48%,D,EXACT,1.0
25,BIHAR,NAWADA,24.811,85.59,0.5,11.9,-96%,LD,364.2,598.5,-39%,D,EXACT,1.0
26,BIHAR,PATNA,25.455,85.227,0,11.4,-100%,NR,302.1,616.7,-51%,D,EXACT,1.0
27,BIHAR,PURNEA,25.815,87.404,1,14.6,-93%,LD,572.9,999.1,-43%,D,EXACT,1.0
28,BIHAR,ROHTAS,24.98,84.026,0.3,12.5,-98%,LD,352,591.2,-40%,D,EXACT,1.0
29,BIHAR,SAHARSA,25.814,86.591,0,9,-100%,NR,393.7,762.2,-48%,D,EXACT,1.0
30,BIHAR,SAMASTIPUR,25.774,85.865,2.8,8,-66%,LD,349.8,657.5,-47%,D,EXACT,1.0
