State,District,Lat,Lon,Actual,Normal,Dept,Category,Cumulative_Actual,Cumulative_Normal,Cumulative_Dept,Cumulative_Category
HARYANA,ROHTAK,28.911,76.53,3.6,6.5,-45.0,D,61.6,175.4,-65.0,LD
HARYANA,SIRSA,29.616,74.901,2.7,5.4,-51.0,D,39.0,96.3,-59.0,D
CHHATTISGARH,KORIYA,23.47,82.235,39.3,14.5,171.0,LE,395.1,454.4,-13.0,N
HARYANA,YAMUNA NAGAR,30.234,77.301,0.4,13.1,-97.0,LD,318.3,343.8,-7.0,N
HIMACHAL PRADESH,BILASPUR,31.371,76.67,59.8,8.5,603.0,LE,243.7,285.8,-15.0,N
HIMACHAL PRADESH,CHAMBA,32.675,76.351,12.2,13.0,-7.0,N,321.4,332.3,-3.0,N
HIMACHAL PRADESH,HAMIRPUR,31.667,76.525,11.3,8.8,28.0,E,194.6,330.4,-41.0,D
HIMACHAL PRADESH,KANGRA,32.108,76.316,18.3,16.3,13.0,N,466.5,568.5,-18.0,N
HIMACHAL PRADESH,KINNAUR,31.599,78.405,4.1,3.6,14.0,N,113.6,88.7,28.0,E
HIMACHAL PRADESH,KULLU,31.903,77.399,16.5,6.4,157.0,LE,195.2,212.1,-8.0,N
HIMACHAL PRADESH,LAHAUL & SPITI,32.48,77.618,0.9,5.1,-82.0,LD,74.7,138.6,-46.0,D
HIMACHAL PRADESH,MANDI,31.637,76.991,18.3,13.1,40.0,E,335.7,426.2,-21.0,D
HIMACHAL PRADESH,SHIMLA,31.197,77.632,39.1,8.0,389.0,LE,344.2,255.8,35.0,E
HIMACHAL PRADESH,SIRMAUR,30.667,77.431,27.0,18.6,45.0,E,514.4,477.6,8.0,N
HIMACHAL PRADESH,SOLAN,31.045,76.91,18.7,9.9,88.0,LE,425.1,354.7,20.0,E
HIMACHAL PRADESH,UNA,31.579,76.21,19.5,9.4,108.0,LE,296.1,334.8,-12.0,N
JAMMU & KASHMIR,ANANTNAG,33.827,75.321,,,,,,,,
JAMMU & KASHMIR,BADGAM,33.925,74.64,,,,,,,,
JAMMU & KASHMIR,BANDIPORA,34.491,74.875,,,,,,,,
JAMMU & KASHMIR,BARAMULA,34.165,74.309,,,,,,,,
JAMMU & KASHMIR,DODA,33.09,75.707,,,,,,,,
JAMMU & KASHMIR,GANDERBAL,34.282,75.025,,,,,,,,
JAMMU & KASHMIR,JAMMU,32.798,74.749,,,,,,,,
JAMMU & KASHMIR,KATHUA,32.577,75.589,,,,,,,,
JAMMU & KASHMIR,KISTWAR,33.553,75.966,,,,,,,,
JAMMU & KASHMIR,KULGAM,33.603,74.843,,,,,,,,
JAMMU & KASHMIR,KUPWARA,34.523,74.204,,,,,,,,
JAMMU & KASHMIR,POONCH,33.803,74.014,,,,,,,,
JAMMU & KASHMIR,PULWAMA,33.94,75.017,,,,,,,,
JAMMU & KASHMIR,RAJOURI,33.273,74.38,,,,,,,,
JAMMU & KASHMIR,RAMBAN,33.323,75.195,,,,,,,,
JAMMU & KASHMIR,REASI,33.229,74.841,,,,,,,,
JAMMU & KASHMIR,SAMBA,32.578,75.094,,,,,,,,
JAMMU & KASHMIR,SHOPIAN,33.733,74.818,,,,,,,,
JAMMU & KASHMIR,SRINAGAR,34.116,74.927,,,,,,,,
JAMMU & KASHMIR,UDHAMPUR,32.894,75.303,,,,,,,,
JHARKHAND,BOKARO,23.695,85.996,14.4,6.9,109.0,LE,258.8,363.6,-29.0,D
JHARKHAND,CHATRA,24.173,84.887,0.4,8.0,-96.0,LD,221.3,371.8,-40.0,D
JHARKHAND,DEOGHAR,24.329,86.739,2.2,12.6,-82.0,LD,160.4,413.4,-61.0,LD
JHARKHAND,DHANBAD,23.827,86.471,17.9,9.6,87.0,LE,327.5,424.3,-23.0,D
JHARKHAND,DUMKA,24.319,87.266,5.9,16.0,-63.0,LD,404.7,440.3,-8.0,N
JHARKHAND,EAST SINGHBHUM,22.583,86.451,3.4,9.1,-63.0,LD,264.5,446.0,-41.0,D
JHARKHAND,GARHWA,24.104,83.698,27.1,10.6,155.0,LE,166.6,349.8,-52.0,D
JHARKHAND,GIRIDIH,24.294,86.11,12.7,11.7,9.0,N,212.2,406.6,-48.0,D
JHARKHAND,GODDA,24.859,87.308,17.8,11.5,55.0,E,197.2,379.1,-48.0,D
JHARKHAND,GUMLA,23.103,84.532,18.1,14.0,30.0,E,299.6,437.7,-32.0,D
JHARKHAND,HAZARIBAG,24.055,85.419,11.2,9.6,17.0,N,280.1,424.3,-34.0,D
JHARKHAND,JAMTARA,23.976,86.907,28.2,14.0,102.0,LE,344.0,454.8,-24.0,D
JHARKHAND,KHUNTI,22.994,85.262,38.6,12.7,204.0,LE,348.5,448.4,-22.0,D
